image_name,label
01750.png,7
08029.png,0
03088.png,6
03771.png,3
04778.png,1
06322.png,3
04821.png,7
08916.png,3
05750.png,2
05901.png,4
04834.png,9
08079.png,2
05861.png,7
03335.png,5
03816.png,3
08041.png,8
00789.png,4
08654.png,1
00639.png,9
06299.png,3
07313.png,1
05371.png,7
07982.png,3
06659.png,6
06527.png,7
06474.png,4
08738.png,0
06848.png,1
01293.png,4
09879.png,1
06344.png,6
07594.png,9
08735.png,9
00966.png,9
06333.png,5
04711.png,5
00584.png,1
02068.png,9
02919.png,5
02365.png,7
00420.png,4
00861.png,6
03172.png,4
09206.png,9
06074.png,2
04965.png,2
06674.png,2
05322.png,1
05097.png,7
00308.png,2
08067.png,2
08915.png,2
04816.png,2
07013.png,2
08478.png,6
04579.png,4
04200.png,4
01967.png,5
05545.png,2
05324.png,2
01838.png,1
08774.png,5
08770.png,4
09376.png,2
05133.png,4
00961.png,8
00726.png,5
09285.png,7
07031.png,2
04928.png,3
02524.png,1
02343.png,1
00942.png,6
08447.png,5
02558.png,5
09508.png,6
09450.png,8
00311.png,0
03216.png,7
01695.png,7
08712.png,2
05858.png,8
07607.png,0
02629.png,3
04675.png,0
05876.png,8
06904.png,0
04381.png,5
08618.png,8
06602.png,6
09851.png,7
00490.png,2
08769.png,4
01249.png,8
09729.png,5
04229.png,4
04384.png,2
02364.png,3
04330.png,5
08917.png,8
06244.png,5
09811.png,3
04872.png,1
04835.png,9
03260.png,3
02978.png,3
01042.png,2
00514.png,4
01409.png,2
06631.png,3
06045.png,3
02723.png,1
07514.png,6
02454.png,5
04144.png,1
07930.png,2
02015.png,1
09609.png,8
00355.png,8
01665.png,4
06397.png,1
08012.png,2
03500.png,4
05272.png,2
01899.png,1
07246.png,5
01274.png,1
00821.png,0
00825.png,7
06874.png,7
01477.png,2
00241.png,9
09359.png,2
07283.png,4
00708.png,4
06661.png,8
07122.png,6
07997.png,3
01318.png,1
05801.png,6
06969.png,1
00523.png,7
04811.png,7
07960.png,7
03726.png,9
07911.png,7
09107.png,8
01117.png,7
06337.png,1
09306.png,4
03223.png,2
09659.png,9
07803.png,8
09766.png,4
03659.png,3
01923.png,3
04805.png,3
05390.png,8
07945.png,3
00694.png,1
02010.png,1
02556.png,5
02513.png,7
06266.png,2
04102.png,1
01710.png,7
00597.png,2
02303.png,3
08046.png,7
01190.png,5
00202.png,1
09377.png,5
09156.png,3
04315.png,1
09070.png,8
03460.png,4
08055.png,4
09075.png,5
03144.png,6
01559.png,9
02441.png,3
02677.png,4
07703.png,9
07047.png,4
03099.png,1
06269.png,7
00091.png,6
04727.png,3
09465.png,5
06979.png,0
00284.png,3
04294.png,5
05305.png,4
06903.png,9
03097.png,8
01918.png,0
01599.png,4
00536.png,1
07092.png,1
08636.png,0
07084.png,6
02587.png,3
04838.png,6
06348.png,1
06353.png,7
01221.png,5
01556.png,8
02273.png,1
01855.png,8
01806.png,2
05744.png,8
01125.png,3
02881.png,3
00343.png,6
08603.png,3
00628.png,3
07550.png,4
09213.png,3
01414.png,3
