image_name,label
16555.png,7
15562.png,1
18455.png,1
23119.png,1
01750.png,3
22852.png,1
22768.png,1
23651.png,6
26012.png,2
08029.png,7
18012.png,7
12569.png,1
16747.png,7
03088.png,4
16357.png,1
11005.png,7
03771.png,1
24608.png,1
20711.png,1
17234.png,1
21614.png,5
11226.png,3
04778.png,1
19884.png,6
23592.png,1
06322.png,1
20717.png,1
22100.png,1
24372.png,7
04821.png,7
08916.png,2
05750.png,5
20688.png,3
11770.png,1
16983.png,4
21027.png,1
23456.png,1
15710.png,1
12630.png,2
17439.png,1
05901.png,1
04834.png,1
16718.png,1
24090.png,6
11281.png,1
24591.png,1
24185.png,7
08079.png,1
14954.png,9
15921.png,1
05861.png,7
03335.png,7
03816.png,0
12946.png,7
25767.png,1
19385.png,1
20033.png,7
08041.png,1
14689.png,7
00789.png,1
08654.png,1
00639.png,7
10694.png,1
21533.png,1
14291.png,2
06299.png,1
23302.png,1
07313.png,4
17846.png,1
19587.png,1
12446.png,7
05371.png,1
07982.png,8
06659.png,7
13203.png,1
14296.png,0
06527.png,7
06474.png,1
08738.png,0
06848.png,5
16601.png,2
15048.png,1
21028.png,7
23751.png,2
01293.png,5
14560.png,7
15368.png,3
10405.png,1
09879.png,1
06344.png,1
20458.png,1
07594.png,1
18414.png,2
18213.png,1
08735.png,7
21840.png,7
00966.png,0
11452.png,6
06333.png,0
04711.png,7
22347.png,1
12277.png,2
19532.png,7
20235.png,1
10213.png,1
12661.png,1
23193.png,2
10239.png,1
00584.png,1
11175.png,1
02068.png,6
02919.png,6
23152.png,8
02365.png,9
16329.png,1
25378.png,1
00420.png,4
00861.png,6
25136.png,0
19277.png,7
17482.png,2
03172.png,1
09206.png,1
26008.png,3
25410.png,7
06074.png,6
14905.png,1
20179.png,7
10809.png,7
04965.png,1
24047.png,1
06674.png,1
05322.png,5
22089.png,7
16484.png,1
25522.png,1
16392.png,1
05097.png,4
11656.png,2
00308.png,7
08067.png,7
23099.png,1
20587.png,4
14080.png,1
24247.png,3
12898.png,1
12308.png,1
10373.png,1
19151.png,2
08915.png,7
15502.png,7
19889.png,1
22202.png,6
04816.png,1
07013.png,4
23370.png,2
11454.png,9
12842.png,0
13055.png,7
19383.png,7
18604.png,7
08478.png,1
14208.png,1
04579.png,7
11884.png,7
10294.png,7
04200.png,2
21322.png,7
10394.png,7
22160.png,6
23125.png,1
13173.png,1
14135.png,2
24571.png,1
23506.png,1
01967.png,1
19052.png,7
20752.png,1
05545.png,8
15960.png,9
23349.png,7
12013.png,1
05324.png,1
15091.png,0
11094.png,4
21165.png,1
14118.png,1
24291.png,1
18464.png,7
01838.png,0
08774.png,1
20662.png,7
19270.png,1
08770.png,1
16085.png,4
14163.png,1
24722.png,1
09376.png,6
24315.png,6
10188.png,1
05133.png,7
00961.png,1
12470.png,1
00726.png,8
09285.png,2
11441.png,6
07031.png,9
25126.png,5
04928.png,1
02524.png,5
22985.png,0
18795.png,1
02343.png,7
00942.png,1
08447.png,1
19581.png,1
18386.png,7
02558.png,2
09508.png,4
14817.png,7
09450.png,1
00311.png,1
03216.png,1
01695.png,7
11400.png,7
23407.png,7
08712.png,1
05858.png,7
12044.png,2
21131.png,7
14488.png,7
21645.png,7
15661.png,7
07607.png,3
02629.png,5
10971.png,1
21587.png,1
16490.png,6
04675.png,7
25047.png,0
11328.png,3
25488.png,7
05876.png,1
22437.png,7
13805.png,1
19376.png,2
10106.png,1
06904.png,1
04381.png,6
22652.png,6
20667.png,1
08618.png,6
17732.png,1
12119.png,7
18558.png,1
06602.png,0
09851.png,2
00490.png,1
08769.png,1
18017.png,5
01249.png,9
09729.png,1
17769.png,1
04229.png,1
22255.png,5
20571.png,6
04384.png,0
11340.png,4
02364.png,1
04330.png,1
08917.png,9
06244.png,1
21585.png,4
09811.png,8
12102.png,0
21582.png,7
04872.png,1
04835.png,1
15022.png,4
03260.png,1
20971.png,1
02978.png,1
21434.png,1
01042.png,1
00514.png,0
11004.png,1
17241.png,1
25004.png,2
16814.png,1
01409.png,3
06631.png,4
17203.png,7
06045.png,1
02723.png,7
07514.png,1
24091.png,1
19766.png,1
18531.png,5
16240.png,6
25729.png,7
14289.png,1
02454.png,1
04144.png,1
10776.png,0
12878.png,1
23151.png,1
13159.png,7
13444.png,8
15756.png,8
21373.png,1
07930.png,2
02015.png,6
09609.png,1
16744.png,7
19400.png,1
00355.png,1
01665.png,1
06397.png,1
10369.png,5
08012.png,7
18134.png,3
19654.png,8
03500.png,4
05272.png,6
01899.png,1
15564.png,9
07246.png,7
01274.png,1
00821.png,1
14984.png,4
12998.png,1
13604.png,1
25284.png,4
16544.png,2
00825.png,1
17932.png,6
14173.png,1
10576.png,1
12940.png,7
22466.png,7
18930.png,1
06874.png,2
14495.png,1
01477.png,7
00241.png,1
24378.png,7
12745.png,1
15496.png,1
17099.png,1
25436.png,1
21507.png,1
16270.png,1
13340.png,1
22260.png,1
09359.png,1
18253.png,1
22117.png,1
07283.png,1
22124.png,1
00708.png,4
06661.png,1
21940.png,8
19121.png,1
07122.png,0
12618.png,4
22839.png,9
19211.png,8
07997.png,3
11627.png,7
22164.png,1
01318.png,0
05801.png,1
10672.png,1
06969.png,6
24966.png,5
13183.png,2
18149.png,6
16648.png,1
00523.png,7
19998.png,4
04811.png,1
18909.png,1
07960.png,1
03726.png,1
21242.png,1
07911.png,1
17046.png,8
09107.png,1
17186.png,7
01117.png,8
06337.png,1
25854.png,5
09306.png,1
03223.png,1
24068.png,7
10362.png,1
25708.png,6
24248.png,2
15698.png,7
11388.png,0
10259.png,1
17930.png,1
09659.png,7
07803.png,5
13887.png,1
23730.png,9
15613.png,1
10081.png,2
23519.png,2
09766.png,3
10902.png,1
03659.png,1
01923.png,6
16688.png,0
04805.png,8
14179.png,7
05390.png,0
17544.png,1
24129.png,6
21032.png,7
07945.png,1
23771.png,7
19327.png,1
00694.png,1
02010.png,4
12607.png,1
19458.png,1
02556.png,7
19626.png,7
16407.png,6
02513.png,1
14489.png,2
15674.png,1
10857.png,8
20631.png,1
15623.png,7
06266.png,0
14846.png,1
04102.png,6
25942.png,1
01710.png,9
15396.png,8
00597.png,7
17661.png,1
14525.png,1
02303.png,4
08046.png,8
23385.png,7
14951.png,1
01190.png,6
00202.png,1
17191.png,7
09377.png,6
09156.png,1
04315.png,1
09070.png,1
17591.png,6
18663.png,7
25052.png,1
19026.png,2
03460.png,2
08055.png,2
17519.png,3
09075.png,9
03144.png,0
01559.png,9
19874.png,5
02441.png,1
02677.png,1
14990.png,8
11417.png,7
11401.png,1
18403.png,1
10286.png,7
17580.png,1
07703.png,6
19955.png,5
10436.png,6
07047.png,1
17968.png,6
03099.png,1
17809.png,1
10651.png,1
19473.png,5
06269.png,4
10175.png,1
00091.png,6
11196.png,1
19964.png,2
19511.png,4
18720.png,1
24941.png,4
16737.png,1
12370.png,1
04727.png,1
09465.png,7
06979.png,0
23851.png,1
18473.png,4
19526.png,1
25903.png,6
22560.png,1
10391.png,1
25477.png,2
00284.png,6
04294.png,7
05305.png,8
06903.png,1
15556.png,5
14666.png,0
23944.png,1
21915.png,6
03097.png,1
01918.png,6
10820.png,0
01599.png,1
19064.png,2
12088.png,3
20768.png,8
20607.png,1
00536.png,1
11846.png,7
25887.png,2
25220.png,8
07092.png,4
19607.png,1
20829.png,8
12465.png,8
11434.png,0
08636.png,0
22261.png,2
17281.png,7
24689.png,1
25025.png,7
07084.png,7
11211.png,7
19424.png,7
13800.png,2
02587.png,1
23938.png,6
04838.png,1
15307.png,8
25466.png,1
18610.png,1
13371.png,1
06348.png,1
16377.png,1
14049.png,1
19474.png,4
06353.png,1
25954.png,3
21935.png,1
22971.png,7
21175.png,1
12841.png,7
14925.png,1
01221.png,6
16390.png,1
12950.png,7
01556.png,1
23115.png,1
11300.png,1
02273.png,8
01855.png,0
01806.png,4
10202.png,7
05744.png,2
01125.png,1
02881.png,5
00343.png,7
16916.png,1
17845.png,6
14325.png,6
14115.png,1
14037.png,7
08603.png,1
00628.png,1
19804.png,8
07550.png,3
15580.png,1
09213.png,6
01414.png,1
18580.png,1
11286.png,1
06159.png,8
22615.png,4
01676.png,1
09548.png,1
19295.png,1
23377.png,1
19916.png,4
22609.png,0
11280.png,1
02902.png,2
09027.png,2
06574.png,1
00337.png,1
